"","logFC","logCPM","PValue"
"FBgn0000008",-0.312930536850336,7.10275186248586,0.29842511739016
"FBgn0000014",0.147755881622863,6.51857129189393,0.605367054538678
"FBgn0000015",0.580309993066121,4.74560816357702,0.0460505742910002
"FBgn0000017",-0.14406859014134,7.9206814490404,0.627394310349697
"FBgn0000018",-0.0139583591358448,3.49952252423439,0.969152775118298
"FBgn0000022",0.879862502898625,1.70728418536788,0.0466764777664255
"FBgn0000024",-0.211158980393809,6.49263465814553,0.437376723229985
"FBgn0000028",-0.242815045493386,2.86921886427297,0.519492338207379
"FBgn0000032",0.332971399277508,5.31531007741097,0.230918318563701
"FBgn0000036",-0.464824968694356,5.00079264266154,0.101919204223321
"FBgn0000037",-0.471936988292285,3.89182015120343,0.119239741293538
"FBgn0000038",-0.737907238035175,5.56031291580114,0.0134137387037588
"FBgn0000039",-0.408940823688807,4.14142884345851,0.178391331497584
"FBgn0000042",0.339242593350358,11.9842267786854,0.273355182123931
"FBgn0000043",0.29433844852807,9.83006939121751,0.306248167834927
"FBgn0000044",-1.88233441727325,9.68774159670629,0.000138450197879967
"FBgn0000045",-2.47603077774695,9.18474397893526,3.14484102363571e-09
"FBgn0000046",-1.91414230685386,9.39372802607917,1.7137586116566e-05
"FBgn0000047",-1.53779888394647,10.0149460562048,0.000699434205781293
"FBgn0000052",0.621528938329085,6.58500629321439,0.0932532738584878
"FBgn0000053",1.15284427527138,6.2239485393167,0.000625426415382555
"FBgn0000054",0.194844425656587,6.04017922564364,0.484427096752882
"FBgn0000055",-1.13450691383043,6.28445101620017,0.00388862804354851
"FBgn0000056",-0.847460255914374,0.0979958934975119,0.0730333290004603
"FBgn0000057",-0.0572943104905298,5.45176003156015,0.846329705347484
"FBgn0000061",0.098678680962244,4.25714609303073,0.751700797208434
"FBgn0000063",0.0952101158265433,3.31870667511487,0.786951210002294
"FBgn0000064",-0.802077579978374,9.25605916300205,0.0112240763668319
"FBgn0000071",0.437605544265629,7.25611332407491,0.157976241753309
"FBgn0000075",1.98202165384661,4.83324992239221,9.4346906374127e-05
"FBgn0000077",0.145536402008455,2.88088913923348,0.675295714507927
"FBgn0000078",-0.369558757404587,-1.1614981113197,0.560786710959015
"FBgn0000079",-0.652694472701957,-1.26293432571315,0.304593028799655
"FBgn0000083",-0.0604295689089536,8.33766773801503,0.843632747297568
"FBgn0000084",0.402000546074396,5.32183258135645,0.164206117216056
"FBgn0000092",-0.0272556145564995,1.40577832601431,0.975469372218544
"FBgn0000094",1.25569791068439,-3.42597096969362,0.650604162555048
"FBgn0000097",0.00406355851868977,7.70749178155771,0.990623781539907
"FBgn0000099",0.000758261666579265,6.54079520014498,0.998262917840495
"FBgn0000100",0.01614303271781,9.83501413903981,0.955266778638991
"FBgn0000108",-0.106230105971192,7.78563765089606,0.712737686919274
"FBgn0000109",0.347503436416043,3.4672801631655,0.269465468656579
"FBgn0000114",-0.543673952314377,8.36960098329381,0.110084010801382
"FBgn0000115",0.113732503792875,5.18035067373599,0.682130648599034
"FBgn0000116",-0.612811555393308,11.065556474245,0.0391458669683307
"FBgn0000117",0.0533922682241087,9.70586698688177,0.853582058580685
"FBgn0000119",-0.0414169230818444,7.20805327233722,0.88816932810785
"FBgn0000120",-0.521686365020884,2.53132607152628,0.312366919287544
"FBgn0000121",-2.24625762342547,3.20370620743328,1.16382664164076e-07
"FBgn0000137",1.03009468251725,0.690395548922735,0.0217218592339187
"FBgn0000139",-0.0585324675663332,5.09736500075767,0.837763937438174
"FBgn0000140",-0.0759719153397466,5.43215159224184,0.811705183755957
"FBgn0000146",0.0986071285458171,2.66110124616595,0.803335129137053
"FBgn0000147",-0.224350401409024,4.77472895720357,0.507989447879264
"FBgn0000150",-0.170294942411324,8.40539874362588,0.544912133958413
"FBgn0000152",0.429456380253009,3.85864851493266,0.152502046139873
"FBgn0000153",0.0543619382093142,3.44414951541727,0.91158274875739
"FBgn0000157",-0.113702008099848,5.44877330123428,0.709106434533797
"FBgn0000158",0.210579774557211,0.356034474796111,0.656899993283112
"FBgn0000163",-0.152281286419382,6.61910200025926,0.596887191118958
"FBgn0000166",0.101703251478852,1.06998294239809,0.82660019030653
"FBgn0000173",0.233099271900683,7.40758321448319,0.414968835832679
"FBgn0000179",-0.0945733509306468,5.2245503903976,0.753116765570771
"FBgn0000180",0.550579781276844,5.40220524344925,0.0744380213976746
"FBgn0000181",-0.035025972271062,8.75990053804882,0.901628833389071
"FBgn0000182",-0.495736818418793,5.86295770382542,0.282958721914811
"FBgn0000183",0.0655892606274005,7.05397380797307,0.817665965661449
"FBgn0000206",-2.00804932989651,3.74864326948736,1.13641688302842e-07
"FBgn0000210",2.7061405063815,7.83928029628622,1.75909491394153e-11
"FBgn0000212",0.134185959324336,7.39788356459357,0.640493463565222
"FBgn0000216",1.55961773012084,0.673209094846384,0.00253782963455238
"FBgn0000221",0.0252761703434723,2.93080902099782,0.945269546104852
"FBgn0000227",0.022564484794432,-3.42325140678927,1
"FBgn0000228",0.11700567991706,5.79162966006635,0.673383074229596
"FBgn0000229",0.0382844381212755,6.15753795741242,0.888181157198231
"FBgn0000233",0.304971057848086,2.6809060391361,0.420518183810401
"FBgn0000239",-0.01735459585198,6.80449439026575,0.950880288574243
"FBgn0000241",-0.795755188907042,4.19404683745013,0.0415346831962185
"FBgn0000244",0.0932969940526895,5.43503861724311,0.754485899342725
"FBgn0000246",0.064835613736816,3.19256260914207,0.859451400479164
"FBgn0000247",-0.0281731359346432,6.14257533263322,0.918406091172022
"FBgn0000250",0.250788011750169,7.1282088498351,0.368872572631035
"FBgn0000251",-0.0646254889045776,3.83057890099212,0.862817059756506
"FBgn0000253",-0.0116847495336567,9.93631714575018,0.9675311875801
"FBgn0000256",-0.345308060007829,7.4500727649875,0.302977428114477
"FBgn0000257",0.068375291276571,4.58691913379213,0.812566085275243
"FBgn0000259",0.0483519196333746,7.6081871214292,0.863680816109612
"FBgn0000261",-0.379944565151202,10.2726393765017,0.204740114946347
"FBgn0000273",-0.135130034553087,7.78171442308237,0.633543753529196
"FBgn0000274",-0.427030311614345,4.54608213011821,0.351725713765466
"FBgn0000276",2.00023921658238,1.71154623026797,0.0170826507833068
"FBgn0000277",1.28153147527611,0.56656926318279,0.19137849140648
"FBgn0000278",0.2788316536827,2.80573511614453,0.75794056825159
"FBgn0000279",0.0601280798966696,3.77166551721243,0.944297270914161
"FBgn0000283",0.075741563731452,7.10518930938829,0.793118538928965
"FBgn0000286",0.0195231171960138,5.76056026545954,0.942404247043294
"FBgn0000287",-0.0409717006222091,6.2682656105032,0.887953145886089
"FBgn0000289",0.0266116172256756,7.55479739590027,0.925880812152441
"FBgn0000299",-0.400923513738171,8.75062222830999,0.270572650029996
"FBgn0000303",-0.954065878565494,2.77616921218028,0.0169292754211272
"FBgn0000307",0.112473697413142,6.8044156987214,0.690241878415076
"FBgn0000308",0.296478032717128,9.93071929985689,0.313014436734611
"FBgn0000316",0.152612870605423,5.35549243858299,0.589591892315324
"FBgn0000317",0.419591564257637,6.94190060683717,0.162779268011542
"FBgn0000318",-0.13299543494625,6.35163216856499,0.61952071265331
"FBgn0000319",0.308283742233975,9.58456410698703,0.288853650676543
"FBgn0000320",-0.0109721315420452,4.84580029400221,0.970858325304338
"FBgn0000326",0.0889177900745178,4.3711095945787,0.756840847671744
"FBgn0000330",0.184893471219598,4.98432992126388,0.518336803656949
"FBgn0000337",-0.0735361842723481,3.28009972017404,0.846964826079178
"FBgn0000339",0.102589007243895,5.27427867114648,0.709785039452991
"FBgn0000346",-0.465632871831046,5.37254304472393,0.148935059596302
"FBgn0000351",0.161580062606358,0.631552546887356,0.709591649981019
