"","GeneID","G3R3","G1R2","G1R3","G1R4","G3R1","G3R2","G1R1","G3R4","external_gene_id","description","baseMean","baseMeanA","baseMeanB","foldChange","log2FoldChange","pval","padj"
"2862","FBgn0029770","45219.4771435017","39.3332335605315","69.725624015998","59.7588303136819","34183.0455685092","49924.864313139","74.6683452185856","48786.4999742588","CG4151","",22294.6716290647,60.8715082771992,44528.4717498522,731.515827521089,9.51474526950302,5.82986054883983e-117,8.03529679446594e-113
"8933","FBgn0039592","9122.74897703911","9.01386602428847","9.80516587724972","8.40358551286151","7057.1508548907","8927.43182700678","15.8387398948515","9605.51204813219","CG14062","",4344.48813304725,10.7653393273128,8678.21092676719,806.125163630436,9.6548600470513,4.83155545981741e-110,3.32966644513317e-106
"6339","FBgn0035478","25154.2819200673","27.8610404387098","55.5626066377484","29.8794151568409","16535.0846945828","16417.3778894517","54.3042510680622","17701.8347786899","CG10853","",9497.02332451163,41.9018283253404,18952.1448206979,452.298755881173,8.82113221739001,3.61170784987662e-84,1.65933897649498e-80
"11097","FBgn0085309","2949.93146221189","4.91665419506644","16.3419431287495","6.53612206555895","2591.78140106267","4496.50624367368","9.05070851134371","4062.16216189104","CG34280","",1767.1533370925,9.21135697517966,3525.09531720982,382.690121195859,8.58003284937613,4.9443650166344e-58,1.36296366048544e-54
"10846","FBgn0053998","6649.98257656951","10.6527507559773","10.8946287524997","16.807171025723","6387.02192629924","11451.2294975326","18.1014170226874","9944.42788336484","CG33998","",4311.13973141539,14.1139918892219,8608.16547094156,609.902962854554,9.25243591418023,2.64277427025455e-51,6.07089296115308e-48
"12528","FBgn0264899","2806.37756651824","13.9305202193549","32.6838862574991","14.9397075784205","2370.86993356839","4161.19867386785","15.8387398948515","3790.8363792689","CG44090","",1650.83442589669,19.3482134875315,3282.32063830584,169.644636204839,7.40637200565909,3.9822545898592e-50,7.84105928743277e-47
"6041","FBgn0034990","768.316624839287","15.5694049510437","25.0576461307493","29.8794151568409","824.489661108383","944.573059421452","12.4447242030976","1178.96363196315","CG11406","",474.91177097175,20.7377976104329,929.085744333068,44.8015629135882,5.48547715682097,3.09400346317483e-46,5.33058121661733e-43
"12194","FBgn0262874","608.587642306909","0.819442365844407","3.26838862574991","3.73492689460512","706.177243370857","1140.25728785703","2.26267712783593","719.351274211749","CG43229","",398.057360345072,2.52135875350884,793.593361936636,314.748292297649,8.29805474023563,8.37775892968385e-38,1.28300723697592e-34
"7277","FBgn0036977","308.337592863135","9.83330839013288","19.6103317544994","7.46985378921023","293.932412816666","286.650950843464","7.91936994742574","307.0519532877","CG5665","",155.100721711529,11.2082159703171,298.993227452741,26.6762550119101,4.73748424060876,9.88433863967844e-29,1.36235839470688e-25
"7025","FBgn0036602","144.564838621076","9587.47568037956","5875.47328622308","9065.60130493027","264.354308382284","252.80286808704","5663.48085097332","356.29613447535","CG13042","",3901.256159009,7548.00778062656,254.504537391438,0.0337181074514355,-4.89033262760662,2.66380504856753e-27,3.33774772585512e-24
"783","FBgn0004577","726.867964815062","4023.46201629604","4662.90110606987","6507.17638212576","338.299569468238","606.092231857214","4435.97850912233","597.689179512849","Pxd","Peroxidase [Source:FlyBase gene name;Acc:FBgn0004577]",2737.30836990842,4907.3795034035,567.237236413341,0.115588622404266,-3.1129286971246,1.42203026274373e-22,1.63332025928307e-19
"790","FBgn0004589","8044.07287348185","17.2082896827325","18.5208688792495","21.4758296439794","5800.08141642949","15035.9530119551","23.7581098422772","15795.7952950738","Eig71Eb","Ecdysone-induced gene 71Eb [Source:FlyBase gene name;Acc:FBgn0004589]",5594.60821187357,20.2407745120597,11168.9756492351,551.80574451736,9.1080166655735,2.48091268015702e-22,2.63033995927724e-19
"789","FBgn0004588","8522.24887815157","21.3055015119546","22.8787203802493","13.0722441311179","7025.72411892917","17378.8749902514","30.546141225785","18864.3836835905","Eig71Ea","Ecdysone-induced gene 71Ea [Source:FlyBase gene name;Acc:FBgn0004588]",6484.87928477146,21.9506518122767,12947.8079177307,589.859837806234,9.20422837251253,5.17105306398659e-21,4.75150829206181e-18
"10278","FBgn0052036","67.7331761371477","1729.84283429754","1597.15257511645","2150.3841595689","77.6425241402513","126.930310336589","1182.24879929427","337.9502630525","CG32036","",908.735580242957,1664.90709206929,152.564068416622,0.0916351844156073,-3.44795454521189,7.10329209201723e-21,6.11904218151709e-18
"10867","FBgn0054043","98.0614639597511","1.63888473168881","2.17892575049994","0.933731723651279","72.0966295588048","119.526042233622","4.52535425567185","149.66368792325","CG34043","",56.0780900171174,2.31922411537797,109.836955918857,47.3593540143732,5.56557749750506,9.72096817405863e-21,7.88141790253236e-18
"9421","FBgn0040900","358.884739234141","3081.92273794081","2210.52017388219","3053.30273633968","87.8099975395699","166.067156023704","2512.7029504618","907.637849340999","CG17777","",1547.35604259536,2714.61214965612,380.099935534603,0.140019978759306,-2.83629540199889,5.17671166311431e-20,3.96392315848358e-17
"3960","FBgn0031542","59.6456327177868","1897.82851929565","2235.57782001294","2817.06861025591","137.723048772589","95.197732752442","1351.94958388197","138.07682176145","CG15414","",1091.63347118134,2075.60613336161,107.660809001067,0.0518695754799593,-4.26896762758183,1.0964664543125e-19,7.95399849462591e-17
